鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
新化區,土地,4000.0,,,其他,,,0.0,0,0,0,1,無,2690000,673,,0.0,0,0.0,0.0,0.0,0
新化區,土地,10.55,,,其他,,,0.0,0,0,0,1,無,27000,2559,,0.0,0,0.0,0.0,0.0,0
新化區,土地,137.18,,,其他,,,0.0,0,0,0,1,無,410000,2989,,0.0,0,0.0,0.0,0.0,0
新市區,土地,29.17,,,其他,,,0.0,0,0,0,1,無,450000,15427,,0.0,0,0.0,0.0,0.0,0
新化區,土地,550.75,,,其他,,,0.0,0,0,0,1,無,4331600,7865,,0.0,0,0.0,0.0,0.0,0
新化區,土地,256.66,,,其他,,,0.0,0,0,0,1,無,2018640,7865,,0.0,0,0.0,0.0,0.0,0
後壁區,土地,53.0,,,其他,,,0.0,0,0,0,1,無,48761,920,,0.0,0,0.0,0.0,0.0,0
安定區,土地,322.67,,,其他,,,0.0,0,0,0,1,無,4196800,13006,,0.0,0,0.0,0.0,0.0,0
龍崎區,土地,104.0,,,其他,,,0.0,0,0,0,1,無,335520,3226,,0.0,0,0.0,0.0,0.0,0
歸仁區,土地,126.0,,,其他,,,0.0,0,0,0,1,無,1119888,8888,,0.0,0,0.0,0.0,0.0,0
龍崎區,土地,285.0,,,其他,,,0.0,0,0,0,1,無,971280,3408,,0.0,0,0.0,0.0,0.0,0
仁德區,土地,433.28,,,其他,,,0.0,0,0,0,1,無,2100000,4847,,0.0,0,0.0,0.0,0.0,0
仁德區,房地(土地+建物),5.02,四層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,14.15,1,1,1,1,有,550000,38869,,0.0,0,5.23,0.9,1.91,1
歸仁區,土地,39.5,,,其他,,,0.0,0,0,0,1,無,600000,15190,,0.0,0,0.0,0.0,0.0,0
仁德區,房地(土地+建物),239.55,全,一層,透天厝,工業用,鋼骨構造有牆。,165.22,4,2,4,1,無,26000000,157366,,0.0,0,165.22,0.0,0.0,0
歸仁區,房地(土地+建物),13.43,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,48.96,1,0,1,1,有,1800000,36765,,0.0,0,30.2,0.0,3.6,1
永康區,土地,14.4,,,其他,,,0.0,0,0,0,1,無,220000,15278,,0.0,0,0.0,0.0,0.0,0
