鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
萬華區,房地(土地+建物)+車位,9.95,十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,143.88,2,2,1,1,有,23000000,159855,坡道平面,39.88,0,57.26,7.65,5.1,1
文山區,房地(土地+建物),35.9,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,93.28,3,2,2,1,無,13500000,144726,,0.0,0,82.59,0.0,10.69,0
文山區,房地(土地+建物),26.58,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,87.27,3,2,1,1,無,11600000,132921,,0.0,0,68.73,0.0,10.52,0
文山區,車位,15.78,地下三層,十三層,其他,見使用執照,鋼筋混凝土造,52.02,0,0,0,1,有,1700000,,坡道平面,52.02,1700000,0.0,0.0,0.0,1
文山區,房地(土地+建物)+車位,14.76,二十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,235.37,3,2,2,1,有,38500000,163572,坡道平面,42.94,0,104.62,12.9,8.07,1
萬華區,房地(土地+建物),12.02,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,36.41,1,1,1,1,有,8700000,238945,,0.0,0,36.41,0.0,0.0,0
萬華區,房地(土地+建物),29.0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,74.17,2,2,1,1,無,6430000,86693,,0.0,0,74.17,0.0,0.0,0
中山區,房地(土地+建物),15.32,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,78.16,2,1,1,1,有,15000000,191914,,0.0,0,30.05,7.1,4.52,1
內湖區,土地,53.5,,,其他,,,0.0,0,0,0,1,無,1966125,36750,,0.0,0,0.0,0.0,0.0,0
中山區,房地(土地+建物),4.23,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,32.46,1,1,1,1,有,9500000,292668,,0.0,0,17.13,0.86,3.47,1
